type,length_of_arr,no_compares,no_swaps,time
hybrid,900,9133,8948,0.012142181396484375
insert,1000,258459,258448,0.2993326187133789
merge,1000,9351,8722,0.017981767654418945
quick,1000,7368,10732,0.013510704040527344
dual_quick,1000,6224,9355,0.014304161071777344
hybrid,1000,10588,10390,0.01633620262145996
insert,1000,244612,244605,0.29158616065979004
merge,1000,9312,8718,0.01819443702697754
quick,1000,6818,11353,0.013466835021972656
dual_quick,1000,6244,10320,0.015014171600341797
hybrid,1000,10509,10315,0.014035224914550781
insert,1000,255768,255760,0.295642614364624
merge,1000,9357,8707,0.018210887908935547
quick,1000,8023,11459,0.014284372329711914
dual_quick,1000,5857,9316,0.014084100723266602
hybrid,1000,10505,10296,0.01674032211303711
insert,1000,250127,250117,0.29328465461730957
merge,1000,9351,8707,0.015617132186889648
quick,1000,7485,11652,0.016460657119750977
dual_quick,1000,6389,9963,0.014517068862915039
hybrid,1000,10645,10431,0.014104843139648438
insert,1000,247233,247227,0.28577280044555664
merge,1000,9347,8717,0.01821303367614746
quick,1000,7142,11049,0.013406515121459961
dual_quick,1000,6726,10756,0.01543426513671875
hybrid,1000,10284,10077,0.016164302825927734
insert,1100,305253,305247,0.35597825050354004
merge,1100,10511,9742,0.017042160034179688
quick,1100,8612,12640,0.019024133682250977
dual_quick,1100,7139,10411,0.023404598236083984
hybrid,1100,11988,11765,0.029396533966064453
insert,1100,300314,300309,0.4708988666534424
merge,1100,10485,9727,0.0167388916015625
quick,1100,8154,12717,0.014984607696533203
dual_quick,1100,7143,10959,0.013399600982666016
hybrid,1100,12037,11826,0.0158541202545166
insert,1100,300310,300304,0.342271089553833
merge,1100,10506,9729,0.016936063766479492
quick,1100,8292,12111,0.014292478561401367
dual_quick,1100,6973,10225,0.013048648834228516
hybrid,1100,12106,11875,0.015900135040283203
insert,1100,303583,303578,0.3507423400878906
merge,1100,10493,9713,0.019190073013305664
quick,1100,9253,13561,0.01579594612121582
dual_quick,1100,7005,10987,0.013457536697387695
hybrid,1100,12120,11932,0.01608896255493164
insert,1100,307790,307786,0.3560597896575928
merge,1100,10531,9735,0.01930856704711914
quick,1100,7755,13805,0.014798164367675781
dual_quick,1100,7184,10461,0.013477802276611328
hybrid,1100,12037,11810,0.015903472900390625
insert,1200,359211,359202,0.41669416427612305
merge,1200,11713,10786,0.01909613609313965
quick,1200,8990,15149,0.01894521713256836
dual_quick,1200,7230,12612,0.017352581024169922
hybrid,1200,13829,13580,0.021041393280029297
insert,1200,361759,361751,0.668459415435791
merge,1200,11692,10756,0.02151036262512207
quick,1200,8361,14207,0.01660299301147461
dual_quick,1200,7268,11407,0.014220237731933594
hybrid,1200,13348,13152,0.017647266387939453
insert,1200,354750,354741,0.5534095764160156
merge,1200,11689,10778,0.02166152000427246
quick,1200,9410,15199,0.019695281982421875
dual_quick,1200,7782,11670,0.014894962310791016
hybrid,1200,13711,13489,0.021512746810913086
insert,1200,371648,371640,0.5674164295196533
merge,1200,11690,10765,0.020194530487060547
quick,1200,8816,13591,0.015324115753173828
dual_quick,1200,7659,11313,0.013225078582763672
hybrid,1200,13683,13451,0.029863357543945312
insert,1200,356819,356815,0.5121386051177979
merge,1200,11646,10760,0.020789146423339844
quick,1200,9412,14026,0.016832828521728516
dual_quick,1200,7329,12518,0.014150381088256836
hybrid,1200,13439,13242,0.017798900604248047
insert,1300,418240,418227,0.606464147567749
merge,1300,12830,11857,0.023053646087646484
quick,1300,10260,17042,0.022912979125976562
dual_quick,1300,8735,12985,0.01761627197265625
hybrid,1300,15068,14844,0.022012948989868164
insert,1300,415341,415327,0.4747755527496338
