type,length_of_arr,no_compares,no_swaps,time
insert,10000,24794374,24794362,28.872462034225464
merge,10000,128202,120373,0.20499634742736816
quick,10000,73211,152316,0.13821005821228027
dual_quick,10000,80236,141730,0.1598975658416748
hybrid,10000,145201,143347,0.1969146728515625
insert,10000,24998680,24998668,28.535812377929688
merge,10000,127972,120393,0.2054462432861328
quick,10000,88137,158190,0.15239763259887695
dual_quick,10000,86208,135858,0.15918397903442383
hybrid,10000,144439,142692,0.19907236099243164
insert,10000,25201347,25201338,29.237207651138306
merge,10000,128125,120471,0.2064516544342041
quick,10000,81597,146759,0.14310264587402344
dual_quick,10000,83557,139753,0.16240763664245605
hybrid,10000,146080,144226,0.1993420124053955
