length_of_arr,no_compares,no_swaps,time
300,2656,2945,0.007126331329345703
300,2534,2768,0.006568193435668945
300,2959,2967,0.007425785064697266
300,2997,3426,0.008136510848999023
300,2812,2882,0.007260322570800781
300,2942,3170,0.007468223571777344
300,3001,3187,0.007550716400146484
300,2642,2970,0.006697893142700195
300,2626,2853,0.006566524505615234
300,3041,3226,0.007981300354003906
300,2927,3003,0.007521629333496094
300,2648,2795,0.0065538883209228516
300,2805,2866,0.007161140441894531
300,2528,2830,0.006327152252197266
300,2968,3551,0.008036375045776367
300,2797,3034,0.007276773452758789
300,2776,2926,0.007226228713989258
300,2849,3114,0.007419586181640625
300,2620,2997,0.006967067718505859
300,2501,2920,0.006760120391845703
300,2841,3216,0.007636308670043945
300,2784,2961,0.007315158843994141
300,2747,3391,0.007596254348754883
300,2964,2996,0.007646799087524414
400,4493,4827,0.012047052383422852
400,3988,4768,0.010910511016845703
400,3921,4313,0.010178565979003906
400,3816,4143,0.009826421737670898
400,4084,4417,0.01055455207824707
400,4748,4906,0.01235055923461914
400,4291,4519,0.01128244400024414
400,4200,4840,0.011313199996948242
400,3843,4396,0.010224103927612305
400,3692,4394,0.009909391403198242
400,3751,4013,0.009812116622924805
400,3856,4400,0.010347366333007812
400,4153,4558,0.010897397994995117
400,4732,5026,0.01254129409790039
400,4710,5421,0.012882232666015625
400,4444,4742,0.011815547943115234
400,4186,4268,0.01059103012084961
400,4126,4261,0.010646343231201172
400,4115,4386,0.010579824447631836
400,3689,3908,0.009195089340209961
400,3671,4166,0.00959014892578125
400,3885,4366,0.010335683822631836
400,4064,5160,0.011361360549926758
400,3772,4113,0.009993553161621094
400,4460,4749,0.011587381362915039
400,3849,4415,0.010428428649902344
400,4032,4511,0.010876655578613281
400,3518,4161,0.009684562683105469
400,3798,4092,0.009972095489501953
400,3838,4135,0.009868144989013672
400,3951,4191,0.010274171829223633
400,3866,4057,0.00995182991027832
400,3930,4533,0.010570764541625977
400,4076,4648,0.011231184005737305
400,3948,4289,0.010001659393310547
400,4097,4342,0.010794401168823242
400,4172,4447,0.010483026504516602
400,3711,4246,0.009932756423950195
400,3787,4180,0.009683847427368164
400,4179,4503,0.010505199432373047
400,3966,4499,0.010704517364501953
400,3779,4577,0.010607242584228516
400,3759,4300,0.009791135787963867
400,3716,4425,0.01030874252319336
400,4448,5357,0.012476921081542969
400,4531,4665,0.011687040328979492
400,3804,4350,0.01012277603149414
400,4000,4629,0.010989904403686523
400,3704,3990,0.00972437858581543
400,3815,4029,0.010021448135375977
500,5275,6330,0.014881372451782227
500,5297,5774,0.01391148567199707
500,5035,5649,0.013415336608886719
500,4768,5488,0.012266397476196289
500,5097,6573,0.014684677124023438
